MR,H4,H27,u0_M,u0_R,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
47.978,49.377,0.0,44.0,44.0,6.0,4.15132790423264,28.0,20.4917266944594,28.0,25.356945401307964,50.0,13.0
47.978,49.377,0.0,5.0,5.0,45.0,18.066677717498568,36.0,27.034737066121902,49.0,4.898585216379528,47.0,86.0
47.978,49.377,0.0,10.0,10.0,40.0,27.377772241651023,98.0,5.463425565302188,69.0,17.15880219304679,83.0,84.0
47.978,49.377,0.0,2.0,2.0,48.0,2.6268798746068076,25.0,22.163256424260215,27.0,25.209863701132978,56.0,57.0
47.978,49.377,0.0,11.0,11.0,39.0,12.226928312333671,81.0,24.05669261464028,66.0,13.716379073026047,99.0,98.0
47.978,49.377,0.0,8.0,8.0,42.0,21.86562608288258,21.0,16.466125313403168,83.0,11.66824860371425,10.0,60.0
47.978,49.377,0.0,30.0,30.0,20.0,25.511469294749055,8.0,5.459432472018678,88.0,19.029098233232265,37.0,11.0
47.978,49.377,0.0,5.0,5.0,45.0,12.040261798527297,14.0,25.694622671585623,2.0,12.26511552988708,60.0,71.0
47.978,49.377,0.0,49.0,49.0,1.0,28.05540939307342,9.0,18.824330302616374,89.0,3.1202603043102055,34.0,53.0
47.978,49.377,0.0,43.0,43.0,7.0,6.321267382884818,80.0,15.202214161356371,30.0,28.47651845575881,71.0,72.0
47.978,49.377,0.0,10.0,10.0,40.0,24.745227211365805,98.0,4.676050107063025,27.0,20.578722681571172,82.0,68.0
47.978,49.377,0.0,24.0,24.0,26.0,21.72869829689354,60.0,22.019805312849183,25.0,6.2514963902572775,85.0,85.0
47.978,49.377,0.0,42.0,42.0,8.0,20.203968530068213,42.0,17.943893690937248,40.0,11.852137778994546,27.0,63.0
47.978,49.377,0.0,42.0,42.0,8.0,21.11159684355786,69.0,14.625906803343973,87.0,14.262496353098166,73.0,88.0
47.978,49.377,0.0,44.0,44.0,6.0,28.281318998260257,90.0,12.82391172229101,40.0,8.894769279448733,32.0,99.0
47.978,49.377,0.0,35.0,35.0,15.0,0.422670099882439,10.0,25.703416018272822,9.0,23.87391388184474,51.0,72.0
47.978,49.377,0.0,18.0,18.0,32.0,24.542637259599648,87.0,0.6265322124050661,74.0,24.830830527995285,64.0,97.0
