MR,H4,H27,u0_R,u0_NR,u0_M,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
498.355,43.538,0.001,44.0,500.0,494.0,6.0,7.328293494445911,57.0,17.304804338250197,31.0,25.366902167303888,40.0,61.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,10.931937177077465,72.0,23.463876361897185,74.0,15.604186461025352,72.0,53.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,17.793635323023608,48.0,15.00586568754468,5.0,17.20049898943171,11.0,34.0
498.355,43.538,0.001,30.0,500.0,480.0,20.0,17.79888700878094,89.0,18.676518197026205,1.0,13.524594794192854,37.0,14.0
498.355,43.538,0.001,33.0,500.0,483.0,17.0,19.327779189794985,18.0,10.676033987812906,19.0,19.996186822392104,29.0,85.0
498.355,43.538,0.001,11.0,500.0,461.0,39.0,33.44982172678258,3.0,3.0506245962331855,21.0,13.499553676984235,73.0,64.0
498.355,43.538,0.001,40.0,500.0,490.0,10.0,21.421507859909728,87.0,9.161320076131014,60.0,19.417172063959256,8.0,96.0
498.355,43.538,0.001,34.0,500.0,484.0,16.0,30.145038188743115,64.0,19.65418066612011,53.0,0.20078114513677983,23.0,26.0
498.355,43.538,0.001,12.0,500.0,462.0,38.0,26.142238636192864,6.0,5.869743093959798,46.0,17.988018269847338,40.0,29.0
498.355,43.538,0.001,37.0,500.0,487.0,13.0,33.29544733105091,68.0,6.39153960347631,24.0,10.31301306547278,67.0,22.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,20.07614155402516,47.0,20.18017553690148,89.0,9.743682909073362,44.0,24.0
498.355,43.538,0.001,35.0,500.0,485.0,15.0,11.92979994609096,29.0,11.189155326844425,65.0,26.881044727064616,21.0,81.0
498.355,43.538,0.001,40.0,500.0,490.0,10.0,6.778085025154829,95.0,9.555664230416077,38.0,33.66625074442909,99.0,43.0
498.355,43.538,0.001,18.0,500.0,468.0,32.0,5.0829570687561665,84.0,44.00810765649798,7.0,0.9089352747458598,6.0,29.0
498.355,43.538,0.001,45.0,500.0,495.0,5.0,43.06446207286723,49.0,3.2932394414663935,82.0,3.6422984856663754,85.0,30.0
498.355,43.538,0.001,22.0,500.0,472.0,28.0,7.168686341733335,89.0,25.600240394896524,96.0,17.23107326337014,100.0,99.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,1.545307398280357,80.0,4.4641982370398,70.0,43.99049436467984,81.0,100.0
498.355,43.538,0.001,22.0,500.0,472.0,28.0,22.785587100142017,34.0,3.602230706717486,48.0,23.61218219314049,32.0,1.0
498.355,43.538,0.001,25.0,500.0,475.0,25.0,18.867141268909677,6.0,14.045195679816569,53.0,17.087663051273754,74.0,2.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,26.714587020805194,71.0,20.74173580372329,27.0,2.5436771754715153,91.0,4.0
498.355,43.538,0.001,46.0,500.0,496.0,4.0,21.85321386881788,41.0,7.422753376473592,62.0,20.724032754708528,86.0,2.0
498.355,43.538,0.001,34.0,500.0,484.0,16.0,31.77899558067898,15.0,2.3522645666892408,69.0,15.86873985263178,6.0,67.0
498.355,43.538,0.001,44.0,500.0,494.0,6.0,7.350121697135622,93.0,23.103206235580217,70.0,19.546672067284167,69.0,64.0
498.355,43.538,0.001,45.0,500.0,495.0,5.0,22.193578662961514,75.0,14.250465677640664,8.0,13.555955659397823,76.0,88.0
498.355,43.538,0.001,50.0,500.0,500.0,0.0,17.465906793275607,7.0,14.828851164955225,56.0,17.70524204176917,46.0,9.0
498.355,43.538,0.001,2.0,500.0,452.0,48.0,8.949912614154684,15.0,7.429365665889792,86.0,33.620721719955526,87.0,71.0
498.355,43.538,0.001,15.0,500.0,465.0,35.0,13.123799427569747,38.0,7.595229335595031,90.0,29.28097123683522,59.0,57.0
498.355,43.538,0.001,49.0,500.0,499.0,1.0,19.484913272197097,22.0,8.945672409311909,91.0,21.569414318490992,22.0,96.0
498.355,43.538,0.001,23.0,500.0,473.0,27.0,16.928788684977768,68.0,15.93267220534269,55.0,17.138539109679545,40.0,91.0
498.355,43.538,0.001,39.0,500.0,489.0,11.0,17.35811273464156,43.0,15.771558652696768,35.0,16.87032861266167,76.0,3.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,22.247682552153915,34.0,26.55654646229641,83.0,1.1957709855496748,67.0,11.0
498.355,43.538,0.001,49.0,500.0,499.0,1.0,15.507494863860483,37.0,16.46798383693137,75.0,18.02452129920815,76.0,45.0
498.355,43.538,0.001,50.0,500.0,500.0,0.0,21.329908052442082,98.0,6.766734098606911,56.0,21.903357848951007,41.0,94.0
498.355,43.538,0.001,4.0,500.0,454.0,46.0,30.09999602587935,0.0,16.215099585345712,36.0,3.6849043887749398,64.0,29.0
498.355,43.538,0.001,7.0,500.0,457.0,43.0,27.403890662096856,69.0,15.95841566212166,49.0,6.637693675781484,37.0,73.0
498.355,43.538,0.001,21.0,500.0,471.0,29.0,21.785377536676005,60.0,22.23830960146063,4.0,5.976312861863363,44.0,55.0
498.355,43.538,0.001,49.0,500.0,499.0,1.0,16.021189892622573,34.0,18.849742398172054,38.0,15.129067709205374,24.0,95.0
498.355,43.538,0.001,35.0,500.0,485.0,15.0,9.654779780749625,71.0,16.391888444237264,95.0,23.953331775013112,44.0,36.0
498.355,43.538,0.001,13.0,500.0,463.0,37.0,15.580962121215626,80.0,19.258180866337348,28.0,15.160857012447028,41.0,56.0
498.355,43.538,0.001,18.0,500.0,468.0,32.0,25.46324703844979,99.0,15.270422615517505,5.0,9.266330346032706,57.0,77.0
498.355,43.538,0.001,42.0,500.0,492.0,8.0,19.966005965340724,17.0,9.792326523926373,51.0,20.2416675107329,37.0,42.0
498.355,43.538,0.001,37.0,500.0,487.0,13.0,17.148963180926557,58.0,22.574613068613022,16.0,10.276423750460427,64.0,66.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,10.888732079542187,52.0,31.26889765587986,88.0,7.8423702645779505,91.0,76.0
498.355,43.538,0.001,22.0,500.0,472.0,28.0,4.274329129177313,35.0,20.78837410169729,61.0,24.937296769125396,86.0,66.0
498.355,43.538,0.001,47.0,500.0,497.0,3.0,15.386706351925472,3.0,17.468619046147627,86.0,17.1446746019269,82.0,43.0
498.355,43.538,0.001,44.0,500.0,494.0,6.0,23.503894125218338,74.0,6.575821691189936,100.0,19.920284183591725,46.0,5.0
498.355,43.538,0.001,48.0,500.0,498.0,2.0,3.486992864805162,22.0,25.033358100271126,16.0,21.479649034923714,78.0,30.0
498.355,43.538,0.001,17.0,500.0,467.0,33.0,18.546168893927987,22.0,24.324994342916344,83.0,7.128836763155671,17.0,83.0
